N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,9.2e-05,0.000289025950392
100,4,1,2,5.8e-05,0.000233743449106
100,4,1,3,7e-05,0.000255147016443
100,4,2,1,6.8e-05,0.000251745903641
100,4,3,1,5.8e-05,0.000233743449106
100,4,2,2,4.4e-05,0.000205095099893
100,4,3,3,7.4e-05,0.000261770892194
100,8,1,1,7.6e-05,0.000264998113201
100,8,1,2,8.4e-05,0.000277387815161
100,8,1,3,7.6e-05,0.000264998113201
100,8,2,1,9.6e-05,0.000294591242232
100,8,3,1,5.4e-05,0.000226017698422
100,8,2,2,8e-05,0.000271293199325
100,8,3,3,9.4e-05,0.000291828716887
398,8,1,1,7.4e-05,0.000261770892194
398,8,1,2,8.6e-05,0.000280364049051
398,8,1,3,7.4e-05,0.000261770892194
398,8,2,1,7.2e-05,0.000258487910742
398,8,3,1,6.8e-05,0.000251745903641
398,8,2,2,6.6e-05,0.000248282097623
398,8,3,3,0.000102,0.00030264831075
