N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.332408,0.066340015
100,4,1,2,0.327082,0.036753657
100,4,1,3,0.331342,0.044148307
100,4,2,1,0.353302,0.050616033
100,4,3,1,0.38303,0.037269842
100,4,2,2,0.327818,0.044119711
100,4,3,3,0.34661,0.038397368
100,8,1,1,0.30443,0.028118554
100,8,1,2,0.319116,0.034800496
100,8,1,3,0.329304,0.048542966
100,8,2,1,0.348538,0.041613466
100,8,3,1,0.37492,0.046299866
100,8,2,2,0.315014,0.039096928
100,8,3,3,0.33458,0.059539832
398,8,1,1,0.492308,0.02567094
398,8,1,2,0.471516,0.036283519
398,8,1,3,0.507974,0.042456299
398,8,2,1,0.621004,0.053607611
398,8,3,1,0.779648,0.058565929
398,8,2,2,0.470368,0.046986047
398,8,3,3,0.47912,0.04918843
